x,y,z,interval,sample,frame
-1.05621,-0.3663,-1.47292,1,0.0,0.0
-1.01608,-0.34398,-1.50459,1,0.1,0.10000000000000142
-0.97589,-0.32159,-1.53615,1,0.2,0.20000000000000284
-0.93554,-0.29904,-1.56752,1,0.3,0.29999999999999716
-0.89497,-0.27625,-1.59858,1,0.4,0.3999999999999986
-0.8541,-0.25315,-1.62924,1,0.5,0.5
-0.81285,-0.22966,-1.65939,1,0.6,0.6000000000000014
-0.77115,-0.20569,-1.68895,1,0.7,0.7000000000000028
-0.72893,-0.18118,-1.71779,1,0.8,0.7999999999999972
-0.68611,-0.15604,-1.74584,1,0.9,0.8999999999999986
-0.64262,-0.13019,-1.77298,1,1.0,1.0
-0.59843,-0.1036,-1.79909,1,1.1,1.1000000000000014
-0.55375,-0.07643,-1.82395,1,1.2,1.2000000000000028
-0.50884,-0.04889,-1.8473,1,1.3,1.2999999999999972
-0.46396,-0.02117,-1.86892,1,1.4,1.3999999999999986
-0.41938,0.00651,-1.88854,1,1.5,1.5
-0.37534,0.03394,-1.90592,1,1.6,1.6000000000000014
-0.33212,0.06094,-1.92081,1,1.7,1.7000000000000028
-0.28998,0.08728,-1.93298,1,1.8,1.7999999999999972
-0.24916,0.11277,-1.94216,1,1.9,1.8999999999999986
-0.20994,0.13719,-1.94812,1,2.0,2.0
-0.17255,0.1604,-1.95065,1,2.1,2.1000000000000014
-0.13711,0.18241,-1.94975,1,2.2,2.200000000000003
-0.1037,0.2033,-1.94543,1,2.3,2.299999999999997
-0.07244,0.22315,-1.93774,1,2.4,2.3999999999999986
-0.0434,0.24203,-1.92671,1,2.5,2.5
-0.01669,0.26001,-1.91237,1,2.6,2.6000000000000014
0.0076,0.27716,-1.89475,1,2.7,2.700000000000003
0.02938,0.29356,-1.87388,1,2.8,2.799999999999997
0.04856,0.30929,-1.8498,1,2.9,2.8999999999999986
0.06503,0.32441,-1.82254,1,3.0,3.0
0.07873,0.33896,-1.79217,1,3.1,3.1000000000000014
0.08964,0.35284,-1.75889,1,3.2,3.200000000000003
0.0978,0.36591,-1.72293,1,3.3,3.299999999999997
0.10321,0.37803,-1.68455,1,3.4,3.3999999999999986
0.10588,0.38905,-1.64397,1,3.5,3.5
0.10584,0.39883,-1.60143,1,3.6,3.6000000000000014
0.1031,0.40724,-1.55718,1,3.7,3.700000000000003
0.09767,0.41413,-1.51145,1,3.8,3.799999999999997
0.08958,0.41936,-1.46447,1,3.9,3.8999999999999986
0.07883,0.42279,-1.4165,1,4.0,4.0
0.06543,0.42434,-1.3677,1,4.1,4.100000000000001
0.04934,0.42415,-1.31801,1,4.2,4.200000000000003
0.03048,0.42243,-1.26732,1,4.3,4.299999999999997
0.00882,0.41938,-1.21549,1,4.4,4.399999999999999
-0.01572,0.41521,-1.16241,1,4.5,4.5
-0.04319,0.41012,-1.10795,1,4.6,4.600000000000001
-0.07366,0.40431,-1.05199,1,4.7,4.700000000000003
-0.10717,0.398,-0.9944,1,4.8,4.799999999999997
-0.14379,0.39137,-0.93507,1,4.9,4.899999999999999
-0.18359,0.38465,-0.87387,1,5.0,5.0
-0.22644,0.37803,-0.81076,1,5.1,5.100000000000001
-0.27158,0.37178,-0.7461,1,5.2,5.200000000000003
-0.31807,0.36616,-0.68031,1,5.3,5.299999999999997
-0.36497,0.36143,-0.61383,1,5.4,5.399999999999999
-0.41134,0.35785,-0.54709,1,5.5,5.5
-0.45624,0.35569,-0.48052,1,5.6,5.600000000000001
-0.49874,0.35522,-0.41456,1,5.7,5.700000000000003
-0.53788,0.35669,-0.34964,1,5.8,5.799999999999997
-0.57274,0.36036,-0.2862,1,5.9,5.899999999999999
-0.60238,0.36651,-0.22466,1,6.0,6.0
-0.62602,0.37534,-0.16469,1,6.1,6.100000000000001
