"x","y","z","video_frame"
-0.936659,-0.118975,-1.145031,1632.
-0.251252,-0.200489,-0.863936,1634.5
0.49895805,-0.330433,-0.50162,1637.
0.94875795,-0.528794,0.198326,1639.5
2.174083,0.256559,0.578174,1642.
3.5811303,2.036448,0.725221,1644.5
2.7141821,2.427937,0.501094,1647.
0.350069,1.292328,0.100317,1649.5
0.25961,0.692373,0.362613,1652.
1.128603,0.244457,0.051678,1654.5
1.1953561,0.051495,0.294225,1657.
0.58151203,-0.003656,0.365875,1659.5
0.536207,0.007501,0.535619,1662.
1.030009,0.186743,0.511754,1664.5
1.3114691,0.267315,0.577394,1667.
1.1542931,0.153143,0.575022,1669.5
0.810237,0.043964,0.408468,1672.
0.537864,0.073826,0.353823,1674.5
0.42465705,0.128297,0.24397,1677.
0.19162005,0.336846,0.171765,1679.5
-0.22287798,0.49075,0.121801,1682.
-0.656795,0.497551,0.021453,1684.5
-0.92337,0.311832,-0.163667,1687.
-0.997007,0.18629,-0.35057,1689.5
-0.976959,-0.139065,-0.440068,1692.
-1.009926,-0.443392,-0.585251,1694.5
-1.126794,-0.333166,-0.484518,1697.
-1.458756,-0.219066,-0.259923,1699.5
-1.932773,-0.19475,-0.248672,1702.
-2.001338,-0.107603,-0.451188,1704.5
-1.7893701,0.316891,-0.249059,1707.
-1.514784,0.419889,-0.060751,1709.5
-1.209577,0.296418,0.033038,1712.
-0.99659,0.128618,-0.012129,1714.5
-0.901197,0.224407,-0.274942,1717.
-0.942081,0.324055,-0.806714,1719.5
-1.038483,0.12674,-1.17268,1722.
-0.528323,0.043772,-1.191905,1724.5
0.17867106,0.391502,-0.574984,1727.
0.89177996,1.037967,0.551313,1729.5
1.7222021,0.190917,0.776827,1732.
2.585349,-1.745869,0.472256,1734.5
2.347086,-2.72469,0.242439,1737.
1.751215,-1.526033,0.368812,1739.5
1.1190271,-0.611337,0.192585,1742.
0.83276397,-0.045149,0.205163,1744.5
0.832941,0.06122,0.337029,1747.
0.973219,-0.285681,0.435517,1749.5
1.282819,-0.527789,0.645457,1752.
1.5852301,-0.620034,0.716437,1754.5
1.505239,-0.639248,0.722227,1757.
1.087193,-0.440857,0.599795,1759.5
0.72703,-0.228742,0.482604,1762.
0.547857,-0.105625,0.413247,1764.5
0.510107,-0.102961,0.209379,1767.
0.15560502,-0.155264,0.12199,1769.5
-0.199556,-0.124656,0.109136,1772.
-0.46557397,0.084699,0.036739,1774.5
-0.637795,0.343699,-0.067788,1777.
-0.834961,0.546181,-0.140558,1779.5
-1.041083,0.680459,-0.199832,1782.
-1.196608,0.672581,-0.242554,1784.5
-1.34028,0.391811,-0.309698,1787.
